time,V(N001),I(V1),I(R1),I(D1)
2.9e-05,2.18121,-7.78798e+22,-0.000218121,7.78798e+22
2.91e-05,2.18182,-7.98286e+22,-0.000218182,7.98286e+22
2.92e-05,2.18244,-8.1826e+22,-0.000218244,8.1826e+22
2.93e-05,2.18306,-8.3873e+22,-0.000218306,8.3873e+22
2.94e-05,2.18368,-8.59711e+22,-0.000218368,8.59711e+22
2.95e-05,2.18429,-8.81213e+22,-0.000218429,8.81213e+22
2.96e-05,2.18491,-9.03251e+22,-0.000218491,9.03251e+22
2.97e-05,2.18553,-9.25837e+22,-0.000218553,9.25837e+22
2.98e-05,2.18615,-9.48985e+22,-0.000218615,9.48985e+22
2.99e-05,2.18676,-9.72709e+22,-0.000218676,9.72709e+22
3e-05,2.18738,-9.97023e+22,-0.000218738,9.97023e+22
3.01e-05,2.188,-1.02194e+23,-0.0002188,1.02194e+23
3.02e-05,2.18862,-1.04748e+23,-0.000218862,1.04748e+23
3.03e-05,2.18923,-1.07365e+23,-0.000218923,1.07365e+23
3.04e-05,2.18985,-1.10048e+23,-0.000218985,1.10048e+23
3.05e-05,2.19047,-1.12797e+23,-0.000219047,1.12797e+23
3.06e-05,2.19108,-1.15614e+23,-0.000219108,1.15614e+23
3.07e-05,2.1917,-1.18502e+23,-0.00021917,1.18502e+23
3.08e-05,2.19232,-1.21461e+23,-0.000219232,1.21461e+23
3.09e-05,2.19293,-1.24494e+23,-0.000219293,1.24494e+23
3.1e-05,2.19355,-1.27602e+23,-0.000219355,1.27602e+23
3.11e-05,2.19417,-1.30787e+23,-0.000219417,1.30787e+23
3.12e-05,2.19478,-1.34052e+23,-0.000219478,1.34052e+23
3.13e-05,2.1954,-1.37397e+23,-0.00021954,1.37397e+23
3.14e-05,2.19601,-1.40825e+23,-0.000219601,1.40825e+23
3.15e-05,2.19663,-1.44339e+23,-0.000219663,1.44339e+23
3.16e-05,2.19725,-1.4794e+23,-0.000219725,1.4794e+23
3.17e-05,2.19786,-1.5163e+23,-0.000219786,1.5163e+23
3.18e-05,2.19848,-1.55412e+23,-0.000219848,1.55412e+23
3.19e-05,2.19909,-1.59287e+23,-0.000219909,1.59287e+23
3.2e-05,2.19971,-1.63259e+23,-0.000219971,1.63259e+23
3.21e-05,2.20033,-1.67329e+23,-0.000220033,1.67329e+23
3.22e-05,2.20094,-1.715e+23,-0.000220094,1.715e+23
3.23e-05,2.20156,-1.75774e+23,-0.000220156,1.75774e+23
3.24e-05,2.20217,-1.80155e+23,-0.000220217,1.80155e+23
3.25e-05,2.20279,-1.84644e+23,-0.000220279,1.84644e+23
3.26e-05,2.2034,-1.89244e+23,-0.00022034,1.89244e+23
3.27e-05,2.20402,-1.93958e+23,-0.000220402,1.93958e+23
3.28e-05,2.20463,-1.98789e+23,-0.000220463,1.98789e+23
3.29e-05,2.20525,-2.0374e+23,-0.000220525,2.0374e+23
3.3e-05,2.20586,-2.08813e+23,-0.000220586,2.08813e+23
3.31e-05,2.20648,-2.14012e+23,-0.000220648,2.14012e+23
3.32e-05,2.20709,-2.1934e+23,-0.000220709,2.1934e+23
3.33e-05,2.20771,-2.248e+23,-0.000220771,2.248e+23
3.34e-05,2.20832,-2.30394e+23,-0.000220832,2.30394e+23
3.35e-05,2.20894,-2.36128e+23,-0.000220894,2.36128e+23
3.36e-05,2.20955,-2.42003e+23,-0.000220955,2.42003e+23
3.37e-05,2.21016,-2.48023e+23,-0.000221016,2.48023e+23
3.38e-05,2.21078,-2.54192e+23,-0.000221078,2.54192e+23
3.39e-05,2.21139,-2.60514e+23,-0.000221139,2.60514e+23
3.4e-05,2.21201,-2.66993e+23,-0.000221201,2.66993e+23
3.41e-05,2.21262,-2.73631e+23,-0.000221262,2.73631e+23
3.42e-05,2.21324,-2.80434e+23,-0.000221324,2.80434e+23
3.43e-05,2.21385,-2.87404e+23,-0.000221385,2.87404e+23
3.44e-05,2.21446,-2.94547e+23,-0.000221446,2.94547e+23
3.45e-05,2.21508,-3.01867e+23,-0.000221508,3.01867e+23
3.46e-05,2.21569,-3.09367e+23,-0.000221569,3.09367e+23
3.47e-05,2.2163,-3.17053e+23,-0.00022163,3.17053e+23
3.48e-05,2.21692,-3.24928e+23,-0.000221692,3.24928e+23
3.49e-05,2.21753,-3.32998e+23,-0.000221753,3.32998e+23
3.5e-05,2.21814,-3.41267e+23,-0.000221814,3.41267e+23
3.51e-05,2.21876,-3.49741e+23,-0.000221876,3.49741e+23
3.52e-05,2.21937,-3.58423e+23,-0.000221937,3.58423e+23
3.53e-05,2.21998,-3.6732e+23,-0.000221998,3.6732e+23
3.54e-05,2.2206,-3.76436e+23,-0.00022206,3.76436e+23
3.55e-05,2.22121,-3.85777e+23,-0.000222121,3.85777e+23
3.56e-05,2.22182,-3.95349e+23,-0.000222182,3.95349e+23
3.57e-05,2.22243,-4.05157e+23,-0.000222243,4.05157e+23
3.58e-05,2.22305,-4.15206e+23,-0.000222305,4.15206e+23
3.59e-05,2.22366,-4.25503e+23,-0.000222366,4.25503e+23
3.6e-05,2.22427,-4.36054e+23,-0.000222427,4.36054e+23
3.61e-05,2.22488,-4.46866e+23,-0.000222488,4.46866e+23
3.62e-05,2.2255,-4.57943e+23,-0.00022255,4.57943e+23
3.63e-05,2.22611,-4.69294e+23,-0.000222611,4.69294e+23
3.64e-05,2.22672,-4.80924e+23,-0.000222672,4.80924e+23
3.65e-05,2.22733,-4.9284e+23,-0.000222733,4.9284e+23
3.66e-05,2.22794,-5.0505e+23,-0.000222794,5.0505e+23
3.67e-05,2.22855,-5.17561e+23,-0.000222855,5.17561e+23
3.68e-05,2.22917,-5.3038e+23,-0.000222917,5.3038e+23
3.69e-05,2.22978,-5.43514e+23,-0.000222978,5.43514e+23
3.7e-05,2.23039,-5.56971e+23,-0.000223039,5.56971e+23
3.71e-05,2.231,-5.7076e+23,-0.0002231,5.7076e+23
3.72e-05,2.23161,-5.84888e+23,-0.000223161,5.84888e+23
3.73e-05,2.23222,-5.99363e+23,-0.000223222,5.99363e+23
3.74e-05,2.23283,-6.14194e+23,-0.000223283,6.14194e+23
3.75e-05,2.23345,-6.2939e+23,-0.000223345,6.2939e+23
3.76e-05,2.23406,-6.4496e+23,-0.000223406,6.4496e+23
3.77e-05,2.23467,-6.60912e+23,-0.000223467,6.60912e+23
3.78e-05,2.23528,-6.77256e+23,-0.000223528,6.77256e+23
3.79e-05,2.23589,-6.94002e+23,-0.000223589,6.94002e+23
3.8e-05,2.2365,-7.11159e+23,-0.00022365,7.11159e+23
3.81e-05,2.23711,-7.28738e+23,-0.000223711,7.28738e+23
3.82e-05,2.23772,-7.46749e+23,-0.000223772,7.46749e+23
3.83e-05,2.23833,-7.65201e+23,-0.000223833,7.65201e+23
3.84e-05,2.23894,-7.84107e+23,-0.000223894,7.84107e+23
3.85e-05,2.23955,-8.03477e+23,-0.000223955,8.03477e+23
3.86e-05,2.24016,-8.23322e+23,-0.000224016,8.23322e+23
