time,V(N001),V(N002),V(N003),V(N004),I(V1),I(V2),I(V3),I(R1),I(R2),I(R3),I(R4)
0.000214,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000215,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000216,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000217,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000218,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000219,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.00022,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000221,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000222,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000223,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000224,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000225,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000226,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000227,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000228,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000229,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.00023,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000231,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000232,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000233,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000234,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000235,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
