time,V(N001),V(N002),V(N003),I(V1),I(V2),I(R1),I(R2),I(R3)
0.000224,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000225,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000226,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000227,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000228,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000229,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00023,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000231,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000232,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000233,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000234,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000235,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000236,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000237,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000238,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000239,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00024,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000241,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000242,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000243,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000244,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000245,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000246,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000247,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000248,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000249,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00025,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000251,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000252,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000253,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000254,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000255,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000256,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000257,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000258,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000259,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00026,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000261,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000262,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000263,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000264,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000265,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000266,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000267,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000268,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000269,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00027,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000271,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000272,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000273,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000274,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000275,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000276,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000277,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000278,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000279,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00028,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000281,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000282,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000283,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000284,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000285,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000286,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000287,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000288,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000289,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00029,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000291,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000292,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000293,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000294,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000295,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000296,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000297,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000298,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000299,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.0003,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000301,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000302,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000303,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000304,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000305,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000306,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000307,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000308,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000309,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00031,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000311,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000312,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000313,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000314,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000315,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000316,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000317,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000318,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000319,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00032,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000321,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000322,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000323,2,-1,0,-0.0003,0,-0.0003,0,0.0001
