time,V(N001),V(N002),V(N003),I(V1),I(R1),I(I1),I(R2),I(R3)
0.000314,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000315,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000316,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000317,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000318,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000319,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00032,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000321,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000322,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000323,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000324,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000325,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000326,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000327,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000328,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000329,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00033,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000331,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000332,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000333,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000334,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000335,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000336,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000337,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000338,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000339,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
